yelpingSinceDate,count,rolling_mean
2004-10-01,53,
2004-11-01,14,
2004-12-01,23,
2005-01-01,24,
2005-02-01,29,
2005-03-01,51,
2005-04-01,72,
2005-05-01,69,
2005-06-01,64,
2005-07-01,97,
2005-08-01,95,
2005-09-01,71,
2005-10-01,75,
2005-11-01,113,
2005-12-01,177,
2006-01-01,269,
2006-02-01,235,
2006-03-01,329,
2006-04-01,318,
2006-05-01,275,
2006-06-01,354,
2006-07-01,414,
2006-08-01,749,
2006-09-01,622,
2006-10-01,629,
2006-11-01,524,
2006-12-01,705,
2007-01-01,959,
2007-02-01,957,
2007-03-01,1000,312.2
2007-04-01,1106,347.3
2007-05-01,1199,386.8
2007-06-01,1326,430.23333333333335
2007-07-01,1616,483.3
2007-08-01,1660,537.6666666666666
2007-09-01,1343,580.7333333333333
2007-10-01,1450,626.6666666666666
2007-11-01,1352,669.4333333333333
2007-12-01,1372,713.0333333333333
2008-01-01,1887,772.7
2008-02-01,1927,833.7666666666667
2008-03-01,2099,901.3666666666667
2008-04-01,2032,966.6
2008-05-01,2261,1038.2
2008-06-01,2533,1116.7333333333333
2008-07-01,3145,1212.6
2008-08-01,3259,1313.4
2008-09-01,2952,1400.8333333333333
2008-10-01,2728,1481.1666666666667
2008-11-01,3098,1575.2666666666667
2008-12-01,3176,1669.3333333333333
2009-01-01,4285,1798.3666666666666
2009-02-01,4090,1909.7333333333333
2009-03-01,4577,2041.5666666666666
2009-04-01,5115,2191.1
2009-05-01,5295,2350.133333333333
2009-06-01,5717,2517.2
2009-07-01,6105,2688.733333333333
2009-08-01,7062,2892.233333333333
2009-09-01,6388,3071.8333333333335
2009-10-01,5551,3220.0
2009-11-01,5189,3353.0
2009-12-01,5537,3493.366666666667
2010-01-01,8153,3711.266666666667
2010-02-01,6955,3887.766666666667
2010-03-01,8331,4120.7
2010-04-01,7213,4312.8
2010-05-01,7279,4510.366666666667
2010-06-01,9464,4780.1
2010-07-01,12363,5129.3
2010-08-01,11101,5435.1
2010-09-01,9734,5689.6
2010-10-01,8869,5917.5
2010-11-01,9015,6142.633333333333
2010-12-01,10577,6410.766666666666
2011-01-01,12738,6730.533333333334
2011-02-01,13422,7069.3
2011-03-01,14197,7444.133333333333
2011-04-01,13815,7813.7
2011-05-01,14457,8192.333333333334
2011-06-01,14977,8585.7
2011-07-01,17605,9029.7
2011-08-01,16192,9433.1
2011-09-01,14220,9754.533333333333
2011-10-01,15296,10093.9
2011-11-01,14953,10415.833333333334
2011-12-01,14563,10710.7
2012-01-01,16349,11052.166666666666
2012-02-01,14685,11306.266666666666
2012-03-01,16066,11628.866666666667
2012-04-01,14700,11933.833333333334
2012-05-01,15397,12274.1
2012-06-01,16791,12649.233333333334
2012-07-01,17720,12968.133333333333
2012-08-01,16644,13291.1
2012-09-01,17084,13582.866666666667
2012-10-01,17972,13941.5
2012-11-01,15858,14227.466666666667
2012-12-01,16689,14468.3
2013-01-01,18245,14664.366666666667
2013-02-01,16034,14828.8
2013-03-01,18203,15111.1
2013-04-01,16500,15365.466666666667
2013-05-01,17489,15647.933333333332
2013-06-01,18457,15910.6
2013-07-01,20187,16158.9
2013-08-01,20901,16408.2
2013-09-01,17318,16512.233333333334
2013-10-01,16241,16593.1
2013-11-01,14936,16609.066666666666
2013-12-01,15251,16618.2
2014-01-01,17009,16598.333333333332
2014-02-01,15210,16565.6
2014-03-01,18466,16707.133333333335
2014-04-01,17134,16768.4
2014-05-01,21557,16988.533333333333
2014-06-01,21535,17220.933333333334
2014-07-01,25127,17513.533333333333
2014-08-01,23433,17805.133333333335
2014-09-01,18354,17881.4
2014-10-01,19132,18029.133333333335
2014-11-01,18078,18118.5
2014-12-01,18430,18173.133333333335
2015-01-01,20970,18281.466666666667
2015-02-01,18885,18356.166666666668
2015-03-01,21235,18494.533333333333
2015-04-01,19657,18550.7
2015-05-01,20325,18699.6
2015-06-01,21616,18863.833333333332
2015-07-01,24020,19056.333333333332
2015-08-01,22745,19280.033333333333
2015-09-01,18516,19290.466666666667
2015-10-01,23074,19509.6
2015-11-01,18589,19546.266666666666
2015-12-01,18218,19538.3
2016-01-01,21063,19567.5
2016-02-01,19347,19515.7
2016-03-01,20393,19618.2
2016-04-01,19436,19724.7
2016-05-01,20354,19905.3
2016-06-01,20608,20083.866666666665
2016-07-01,20893,20213.333333333332
2016-08-01,17729,20297.3
2016-09-01,15442,20196.5
2016-10-01,14995,20125.2
2016-11-01,12475,19822.466666666667
2016-12-01,14885,19600.8
2017-01-01,16104,19300.033333333333
2017-02-01,13461,18967.633333333335
2017-03-01,14122,18826.566666666666
2017-04-01,13032,18623.233333333334
2017-05-01,13690,18476.966666666667
2017-06-01,13399,18309.266666666666
2017-07-01,13809,18070.566666666666
2017-08-01,11875,17836.9
2017-09-01,10661,17484.433333333334
2017-10-01,10601,17182.566666666666
2017-11-01,9600,16825.066666666666
2017-12-01,10670,16460.2
2018-01-01,12528,16077.133333333333
2018-02-01,10821,15679.666666666666
2018-03-01,12813,15489.566666666668
2018-04-01,11449,15102.066666666668
2018-05-01,11554,14867.566666666668
2018-06-01,12115,14664.133333333333
2018-07-01,13333,14406.466666666667
2018-08-01,11564,14147.033333333333
2018-09-01,9564,13786.066666666668
2018-10-01,9265,13447.033333333333
2018-11-01,8703,13058.666666666666
2018-12-01,9859,12700.366666666667
2019-01-01,10814,12364.4
2019-02-01,10546,12124.966666666667
2019-03-01,11505,11993.733333333334
2019-04-01,8918,11791.166666666666
2019-05-01,9573,11694.433333333332
2019-06-01,10390,11544.6
2019-07-01,9912,11338.2
2019-08-01,8456,11171.366666666667
2019-09-01,6828,10928.233333333334
2019-10-01,6535,10711.666666666666
2019-11-01,5671,10444.366666666667
2019-12-01,5507,10181.3
2020-01-01,5617,9908.233333333334
2020-02-01,5194,9685.533333333333
2020-03-01,3453,9445.266666666666
2020-04-01,1939,9156.533333333333
2020-05-01,3039,8937.833333333334
2020-06-01,4169,8721.133333333333
2020-07-01,4851,8465.233333333334
2020-08-01,4742,8262.6
2020-09-01,4130,7973.166666666667
2020-10-01,4007,7725.1
2020-11-01,3161,7445.333333333333
2020-12-01,3142,7146.233333333334
2021-01-01,3531,6819.5
2021-02-01,3187,6540.266666666666
2021-03-01,3941,6352.833333333333
2021-04-01,3888,6173.6
2021-05-01,4003,6016.933333333333
2021-06-01,3740,5812.966666666666
2021-07-01,3955,5584.333333333333
2021-08-01,3790,5359.133333333333
2021-09-01,2985,5075.133333333333
2021-10-01,2793,4870.966666666666
2021-11-01,2206,4625.4
2021-12-01,2466,4361.266666666666
2022-01-01,2782,4123.6
